0,We finally got huge tree off Monday.. Before house got anymore structural damage before this new storm..still the damage is done..,None,N/A
1,# Sandy update 3 : @ KiranCreates & I have no power or cell at Union Sq apart . Camped out at Roosevelt Hotel lobby charging phones along w many,Energy,need
2,Sandy relief efforts in full swing @ foodcoop @ Park Slope Food Coop http : //t.co/XN3QwUct,None,N/A
3,# foodtruck to the rescue # eastvillage # nyc # sandy # ignyc # below39thStreet @ gothamist @ Ninth Street Espresso http : //t.co/Hq0yYNHR,None,N/A
4,"Sandy Takes NY Out : ... ..and now the morning after , this is no lovable affair . @ NYCurrent @ New York http : //t.co/tqqvBf80",None,N/A
5,"South Fin Grill will be serving hot food to those who are in need . Soup , Pasta , Coffee & Tea .",Food,resource
6,Great organizational skills sorting donated goods . Worked past weekend sorting clothes and food items donated by Toledo area to fill 3 30 ' trucks . Have worked with seniors and children . Computer and office skills . Food prep . 3/4 ton truck 4x4 . My husband is retired and ready to help as well .,Food,resource
7,I do n't have a car however I can help distribute water and clothing .,Water,resource
8,"I would like to help in any way that I can . Cook hot foods , donate goods , give people rides , help people find new lodging . Anything !",Food,resource
9,food prep yoga classes supply runs organization,Food,resource
10,What we thought could never happen : Dark # Streets of # Manhattan due to power outage . # sandy # d @ 34th Street http : //t.co/081fmHg8,Energy,need
11,"Women 's clothing , young boy 's clothing . Non perishable foods . Toys and books .",Food,resource
12,"Hide your kids , hide your wife ... ... And hide your husband cuz , # HurricaneSandy is coming fo @ 10th Ave Beach http : //t.co/Jw2aoKts",None,N/A
13,"yes ... hello name is ****************** ... want to help out with my peers of kingsborough community college we are of project rise program ... whatever we can help with we will do ... i am willing to get clothes , food , blankets , etc ... whatever else may be needed even furniture ... i will gladly give to those who need ... however i do not have transportation ... i am getting a plan together with students and teachers for transportation and such ! ! ! but we need a volunteer group such as this to hook up with so we can all come together to restore ny ! ! !",Food,resource
14,sandy let me charge my dam phone b4 u cut my lights off .,Energy,need
15,Stocking up on some food before the storm ( @ Western Beef ) http : //t.co/grQqaolg,None,N/A
16,"I 'm safe , I 'm alive ... ..I 'm here. # SandySurvivor",None,N/A
17,"paper products , pet food , canned food , hygiene products , diapers",Food,resource
18,So like where 's sandy ? It 's not even raining ... .,None,N/A
19,"Sent another email to ****************** for help . ****************** offered to donate clothing , non-perishable food , cleaning supplies , baby supplies , baby clothing , toys and other goods",Food,resource
20,Happy to help with food prep and delivery,Food,resource
21,"Items from the drugstore : toilet paper , hygiene products , otc medicines , socks and underwear , etc .",Medical,resource
22,When res life turns off our fridge for the hurricane and all our food goes bad # bummer,None,N/A
23,"assist in distribution of food , supplies , clothing .",Food,resource
24,"Hi , I am from Baltimore and wanted to organize a drive for your residents and arrange a time to deliver the items . What kinds of special needs do your residents have ? I saw on nightline that many of your residents need food and clothing . Please let us know how our community can help you . Thank you in advance .",Food,resource
25,I can bring food and/or basic need items .,Food,resource
26,"I have cloths I can donate , tools food",Food,resource
27,Here is a list of the items we have to offer : *Men 's & Women 's coats and winter wear *Children 's coats and winter wear ( boys & girls ) *Children 's and baby toys and stuffed animals ( all new w/tags ) *Blankets ( all new w/tags ) *Toiletries/Hygiene products *Water *Cleaning supplies,Water,resource
28,We are in Puttsburgh but could come for a specific project or bringing food and supplies and can provide shelter for the displaced without somewhere to go,Food,resource
29,@ BinStunting just Tryna escape sandy ... .u have a gr8 weekend too,None,N/A
30,"Oh boy , power just went in and out ... Indication that it may go out soon.. # salty # Sandy",Energy,need
31,"diapers , batteries , baby wipes , toothpaste , toothbrushes , trash bags",Energy,resource
32,We have clothes and brand new shoes for all sizes we have baby diapers car seats high chair and some other baby items we have hygine products like wipes toothbrush ect . Also have some food items non perishable and have kids toys . We also have a bike . And blankets ! And possibly some cleaning products .,Food,resource
33,the big storm Hurricane Sandy : The calm before the big storm Hurricane Sandy has necrosis and the U.S. has ... http : //t.co/dfK1xn9s,None,N/A
34,"Hurricane # Sandy I hate you ! ! Another day with no power , they are saying NEXT week , I 'm gon na die !",Energy,need
35,baby supplies or prepared foods - are sandwiches or hot pasta acceptible ?,Food,resource
36,"clothing , baby supplies , painkillers",Medical,resource
37,It 's snowing ... A lot ... ... Oh HAYLL nah ! ! ! ! No ! No ! No ! # stormpart2,None,N/A
38,"Our family speaks russian and hebrew as well as english , and we have a car to deliver food or supplies and we have two kids who would be very handy in a soup kitchen",Food,resource
39,"I can make sandwiches , distribute food to people , play with kids ... .Oh , also , I live in Alphabet City ( E 7th & Ave C ) –I know help is needed in that area .",Food,resource
40,Finally at my Uncle 's house in Brooklyn . Gon na take my first hot shower in *muffles mouth* ? Days ... # DontJudgeMe # SandyLife Night All ...,None,N/A
41,water,Water,resource
42,@ cedricbixler_ha ! Seriously though ... ... you got his number ? # HurricaneSandy # blade,None,N/A
43,"I am in decent shape , so can climb stairs to deliver food and water to folks in high rises . I also have a backpack , which could make it easier to truck stuff up stairs .",Water,resource
44,can do water distribution .,Water,resource
45,Wow sirens are crazy here.. I guess a building may have collapsed on 15th and 8th 1 block from my apt ... . # HurricaneSandy,None,N/A
46,"I have baby items , non-perishable food , and hygiene products . Where can I bring them ? !",Food,resource
47,Baby formula and other food,Food,resource
48,"also have socks , batteries , flashlights , blankets",Energy,resource
49,Food delivery,Food,resource
50,We need a pump and generator . Our basement has about a foot of water .,Energy,need
51,"I have a big comforter , several cans of food , 4 candles , 2 large boxes of matches . Will try to gather some feminine products , etc . as well . It 's not a huge amount , but hopefully all helpful stuff !",Food,resource
52,Chili ( vegan ),Food,resource
53,this storm is no joke wtf ... ..,None,N/A
54,Making food ... Being home during Hurricane Sandy ! : ),None,N/A
55,I am happy to help with whatever kind of low-skill clean-up jobs are needed .,None,resource
56,"We are Rescue Ministries Church , a Soup Kitchen and Food Pantry located at 2083 Richmond Terrace . We will be bring Hot meals to Hurricane site to feed the need . We need all paper products and foil trays to prepare , transport , and burners to keep food hot to serve food to the communities in need . Cleaning supplies including gloves , masks , trash bags , baby supplies , and famine products . We have noticed that there is also a need for sleeping bags , coats , winter gloves for all age groups . We will prepare food at church to bring to sites by 10:00 am . For more information please call contact number .",Food,need
57,Happy to drop off whatever is most needed . Food and flashlights .,Food,resource
58,"Hi , my name is ******* . I have non perishable food , blankets and jackets i would love to donate . *********** please contact me so i can deliver the goods",Food,resource
59,Chasing Jagger with Guinness ... ..hurricane party @ James_Mahon @ Joseph_Ruggiero @ crebaudo ... . @ amanda__ryan and @ ErinDiver were u at ?,None,N/A
60,Food preparation,Food,resource
61,Redcross came to my house and gave my family food ... . Guess were not getting power anytime soon . # sandy # RedCross,None,N/A
62,"looking for warm clothes ... coats , hats , gloves ... flashlights/batteries ... any advice would help ...",Energy,need
63,I am a computer engineer . I can help people recover data from computers damaged by flood water .,Water,resource
64,"Some clean up tools , medication and clothes",Medical,resource
65,NYC consulting firm looking to donate non-perishables and supplies,Food,resource
66,"cooking , shlepping , cleaning , distributing food , going from door to door .",Food,resource
67,Food distibrution . Assist with Non-Profit Organizations in any way possible . Have small Car to travel or transport goods .,Food,resource
68,# HoesBeTwerkin to Twerk up the east coast . Ohhhh wait ... .. # HurricaneSandy,None,N/A
69,I havs plenty of clothes but also can bring canned items . And could make and bring some food .,Food,resource
70,"I would n't say I 'm an expert in any area above but I would be willing to help man food/water/supplies distribution , to organize supplies for distribution , and I would be willing to help clear debris and clean .",Water,resource
71,I can give several gallons of bottled water,Water,resource
72,Non-perishable food . All I can carry/afford,Food,resource
73,"Good evening , My name is **************** and I am a senior at Brooklyn Technical High School . There have been many students and faculty here who have been affected by Hurricane Sandy . I am interested in holding a Hurricane Sandy Relief Effort Drive and will be collecting non-perishable , canned goods and lightly used clothing . Please let me know if you are interested in collecting these goods so that we may arrange something . My email address is : *************** and my phone number is ***************** . Thanks , *********** .",Food,resource
74,"Still need baby food , women 's shoes ( 9.5 to 10 ) and grocery type food .",Food,need
75,Can cook and serve food,Food,resource
76,Provide hot food .,Food,resource
77,"In case of hurricane , buy as much junk food as possible ... @ ShopRite http : //t.co/GHNOaHRC",None,N/A
78,BB scouting team on the move ... FDR flooded ... # Sandy http : //t.co/Gvv2FQp3,None,N/A
79,"adult , child , infant certified first aid/CPR",Medical,resource
80,We can bring prepared food and kid snacks .,Food,resource
81,"I am an accountant , so I could help with financial services of some type , but I would simply like to lend a strong back and/or general handyman skills . I have basic tools - but would be happy to purchase specific tools that are needed , assuming that the local hardware store or Home Depot has them .",Medical,resource
82,I feel like this hurricane is taking us back to the olden days ... gon na go hiring a foraging for food in the forest tomorrow,None,N/A
83,"food preparation , supply distribution , meal distribution",Food,resource
84,"will bring food , donations , and whatever i can !",Food,resource
85,Over 25 people in line at Starbucks . People need coffee as much as they need food and gas post # Sandy ( @ Starbucks ) http : //t.co/T7G3fBJg,None,N/A
86,My powers out : / ... . no Xbox today ... **** Hurricane Sandy ... : (,Energy,need
87,"Clothing , non-perishables , pet food , hygiene products",Food,resource
88,"Just generally want to help out -- cleaning , packing food , etc . Thanks !",Food,resource
89,"Traffic is moving really well on the BQE near Metropolitan ave. You know , in case you want to get swept off the highway by the hurricane ... .",None,N/A
90,"Staying with grandmother at ************** . Need to collect prescription meds . Car has no gas so ca n't get supplies . Also no money for re-supply . Gas would help , money would help , supplies would help .",Medical,need
91,4 one gallon containers of water,Water,resource
92,# sandy vs Zoe ... . winner gets the stick but it seems pretty one sided right now lba @ East Side River Walk http : //t.co/53LEXsf5,None,N/A
93,Hand out food ?,Food,resource
94,Talking about the hurricane as if she is a real person is no longer funny ...,None,N/A
95,"Hi , I sent an email earlier but I was n't signed into the website so I have no idea if the email went through . But my co-workers and I would like to donate as much as we can . We can donate clothing , non-perishable food , cleaning supplies , baby supplies , baby clothing , toys and other goods . If the need is great , we can reach out to our whole department of about 200 people and see what they would be willing to donate . I do n't have a vehicle to drop off the items but if it 's possible to pick up , that 'd be appreciated but I can definitely try to find a ride to drop it off . Thanks ! ******************",Food,resource
96,"i have men 's clothing , t shirts , jeans , socks and a few women 's pants . i have some canned goods and pasta as well .",Food,resource
97,I plan on driving up Thanksgiving morning from VA - what ever the need is at that time I hope to bring in my car - supplies / food / toys / products etc Please let me know what would be best - I will keep in touch,Food,resource
98,My hometown Va Beach got the most rainfall ( 9+ inches ) but least damage ... .weird how things turn out . # HurricaneSandy NYC,None,N/A
99,WAIT ... ... ... ... ... ... ... .. so when 's the hurricane supposed to hit ? ?,None,N/A
100,I 'm in good physical shape and can help clear debris and move food / supplies as need be .,Food,resource
101,“ @ amandadauriaa : there is a hurricane coming toward my house someone call 911 ... .”HAHAHA,None,N/A
102,"My brother and his family live at ***************** . They have no power and I’m not sure if they have enough food especially If ConEd won’t be up for a few days . His daughter called me today and what food they do have was placed by the window so it won’t spoil . They are on the top floor and I assume the elevator does not work . They only have a corded phone and can only call out . My brother recently had surgery to remove a tumor and is suppose to see the doctor this Thursday for a check up . So food is imperative for his recovery . Please if there is a way that someone can check on them that they are ok it would be greatly appreciated . Thank you so much . His brother , ****** who lives in Georgia : *************************** cell",Food,need
103,"Blankets , batteries , baby formula , socks",Energy,resource
104,transportation of food,Food,resource
105,Free food for Sandy victims @ Speedway School on South Orange Ave. Newark ... . # SANDYNJ # NewarkhelpingNewark,Food,resource
106,hi my name is ********** 3 sets of twins in brooklyn ny and in desperate need of diapers wipes and so on we had a flood of 5 feet of water and cant seem to get any help in my area please help me and my family,Water,need
107,New Yorkers food is the big hurricane issue . No MTA means no workers for stores . Closed bridges means limited resupply . # Sandy,None,N/A
108,"Going on day 6 without power . Getting the routine down . Candles , fireplace , grilling food . Gas in generator . Watch a DVD . # Sandy",None,N/A
109,I 'm really concerned my food is gunna go bad if I do n't eat it all before the storm and the power goes out,None,N/A
110,6 - 1 gallon jugs of drinking water .,Water,resource
111,"We are residents of Weehawken NJ and have collected items from our friends and family from upstate New York . We have warm clothes/winter jackets , diapers , baby food , and boxes of latex gloves . Is there a drop off site ? Thanks . ***** *************",Food,resource
112,Amen“ @ horwad : Sandy update ... I 'm going to bed after an amazing # sandybinge of Chinese food and philosophical conversation.”,None,N/A
113,"Am happy to purchase cleaning supplies , clothing or food .",Food,resource
114,Possible 140 mph winds ... .Hurricane Katrina had 110 mph winds ... .needless to say I 'm already planning my evacuation list,None,N/A
115,Damn Sandy ruined all my family 's cars ... And also ruined the floors in my apt.. At least my family is all safe and together..,None,N/A
116,Shower Curtain Scrubbing Bubbles/Bathroom Cleaner Dish Soap Sponges Towels and Wash Cloths Bathmats Batteries ( of all kinds ) Toilet Paper Laundry Detergent,Energy,need
117,"Pasta , canned food , granola bars , etc",Food,resource
118,"I can bring as much as I can carry in a few trips to the donation center . Whatever supplies are needed most . baby supplies , canned food , utensils , hygiene products",Food,resource
119,Bottled water,Water,resource
120,I have a box of 204 diapers . 900 wipes some canned foods . Body wash shampoo rinse,Food,resource
121,I can cook in large quantities to help those that need food cooked and dont have power.Be a cousler to help them file paper work for things that are lost link with churches and orginazations,Food,resource
122,Having fun at # Lexi 's ! Real food in real house with electrical lighting . Good times . I feel human again # escapingsandy,None,N/A
123,"We can donate clothing , towels , toys , and food",Food,resource
124,"We can supply clothing , baby supplies , non perishables , hygiene products and perhaps tools",Food,resource
125,"I have children 's clothing , adult clothing , children 's toys and books and a little food .",Food,resource
