ca9e24c8-396d-4502-8b45-18895df5333e_0,"Donations of batteries, flashlights, and cleaning supplies are always welcome at our donation drop off at 23-74 38th st btwn 23rd ave & Astoria Blvd.  Thanks!",Energy,need
twitter_resource_tweets_1692,I want hurricane Sandy to cone so I can be stuck in my house with my family :) ..............NOT !!!!!,None,N/A
625b46e2-0b81-41ea-826e-4535fe9b39b8,"Hi, I can help prepare food, serve food, offer clean up assistance but don't necessarily have any tools, just my hands and willingness to help. I only have a bicycle and could maybe help with deliveries. I'm within walking distance of Red Hook.",Food,resource
twitter_resource_tweets_1699,I cant believe Sandy.....,None,N/A
c3bfea72-d377-445c-b4b8-e8ebca0e7fbb,"I have children and adult clothes including jacket , blanket, shoes , and bottle water",Water,resource
ef6f7061-634d-4357-b4b6-920a4d23a959,I have two small children but we would like to donate to families who need clothes or food or even toys for kids! But we don't know where and would rather not donate to red cross. We would rather directly donate. Thanks in advance if you can help! Melissa,Food,resource
twitter_need_tweets_1572,Supermarket had no food #scary #hurricanesandy #nopower #instahub #instafood #instagram @ Super Stop & Shop http://t.co/hY0TRezH,None,N/A
twitter_need_tweets_1571,spooky: the total lack of power from 34th st - south. #sandy,Energy,need
twitter_random_tweets_4486,"Will these storms ever give L.I. a break? First sandy, now a nor'easter. Still no power in long beach expected for a few wks. #c' monman",Energy,need
ac4a47e8-1031-479e-b26b-970bc735eb4d,"We're very concerned about our 90-year old grandmother *************** who lives by herself in her apartment at *********************************************** without power or running water. She said her neighbors are helping her, but it's hard to know if she's really ok from the phone and we're concerned her cell will run out of power. Her number is ****************.",Energy,need
4c63a84a-e61f-46e4-907e-e4a67c6f12b6,I am happy to serve food or help with taking food to people that can't get out.,Food,resource
twitter_resource_tweets_2635,@LaurSantangelo now only if my texting worked... Hahaha damn sandy...,None,N/A
1caaf3d2-8800-425e-b428-8c22645b85ef,psychological services (phd in psychology); can lead games for kids; can donate food,Food,resource
dc58d173-48c9-4482-81d6-615f8f34d279,2 jugs of water,Water,resource
twitter_random_tweets_2956,Enjoying life in the dark.... (@ Hurricane Sandy's Power Outage) http://t.co/ZdCwWy8Q,Energy,need
a9e793f8-b33f-4570-baaa-57d2ef023323,I am a chef and offer my services at a food bank or other facility that would provide food for relief victims of storm Sandy,Food,resource
1369e2e7-4ae3-439c-9d95-631f4058d6c1,Can bring groceries and toiletries as needed.,Food,resource
8adf9ef0-3b57-45d7-937d-6c104a2ab1e7_0,************************. (Needs confirmation of location.) May need food.,Food,need
66d0729c-2b44-4ca5-ae2d-ea489ebef4e1,"My cousin and his wife are stuck. There is no electricity (and thus no elevator)or phone (or cell phone service, either).  I'm in Boston and cannot help directly.  I'm sure there are many others in that housing complex who are old and need help.  What you're doing is fantastic!",Energy,need
50d97b22-8496-4060-955f-5b37b9d58b4b,"I have non-perishable food, men's and women's clothing, and hygiene products I can donate. I live on the upper east side. Please let me know how to get these to you.",Food,resource
5a1590c5-86b5-4cd5-830d-e9f352f24946,Baby formula and other food,Food,resource
985a826d-ac19-400b-a1d0-3bd5b6aa07ac,I am cpr and first aid certified. I have experience as a CNA(certified nurse assistant).,Medical,resource
twitter_need_tweets_3366,We just lost power on 20th street. #sandy,Energy,need
09c2b4fc-babc-4ea4-81ae-5260e662afe5,6 cases of bottled water.,Water,resource
a902512b-eec4-4efe-858d-1deb74be13a3,"I have gently used clothing, like new coats, non perishable food items, and hygiene items. I can drop them off Thursday or Friday. Thanks",Food,resource
twitter_random_tweets_1192,There is no way in or out of Manhattan right now..... Stranded on an island during a hurricane ..... Wow,None,N/A
7e264c5e-9a96-4e48-9790-7bd55e63d6ff,Food Delivery/Preparation,Food,resource
b22d82aa-29f9-49a4-9c91-ef9920976aaa,"I can donate clothing, hot meals, non-perishable foods, and hygiene products.",Food,resource
9fb74b4c-365c-482f-9fe8-3369f1552aa7,"My apartment was flooded knee deep. The water has drained out. Right now my most urgent need is to find a contractor to a) come dry out the apt and b) if needed, replace the Sheetrock, insulation, and flooring, as I'm very concerned about the apartment becoming (even more) filled with mold.",Water,need
0b694ef1-3b4d-4b22-bea2-fab0667a1741,Supply food,Food,resource
twitter_resource_tweets_1852,@austeremoi It's always good to weather the storm with good food and wine... We'd love to have you over,None,N/A
